LEVEL,Div Num,Div Name,Sch Num,Sch Name,Sch Type,Low Grade,High Grade,Subject,Grade,Test,2018-2019 Pass Rate,2019-2020 Pass Rate,2020-2021 Pass Rate,2018-2019 Adv Pass Rate,2019-2020 Adv Pass Rate,2020-2021 Adv Pass Rate,address,latitude,longitude,geoid
SCH,9.0,Bath County,150.0,Valley Elementary,Elem,PK,7.0,English: Reading,Gr 3,English Reading,65,,37,15,,5,Valley Elementary Bath County,37.9730899,-79.852354,5100270
SCH,10.0,Bedford County,480.0,Bedford Elementary,Elem,2,5.0,English: Reading,Gr 3,English Reading,66,,51,14,,8,Bedford Elementary Bedford County,40.0321852,-78.5065024,5100270
SCH,10.0,Bedford County,30.0,Big Island Elementary,Elem,PK,5.0,English: Reading,Gr 3,English Reading,73,,64,9,,8,Big Island Elementary Bedford County,37.5313265,-79.4161246,5100270
SCH,10.0,Bedford County,160.0,Boonsboro Elementary,Elem,PK,5.0,English: Reading,Gr 3,English Reading,80,,75,16,,14,Boonsboro Elementary Bedford County,37.4528392,-79.2609355,5100270
SCH,10.0,Bedford County,500.0,Forest Elementary,Elem,PK,5.0,English: Reading,Gr 3,English Reading,90,,91,27,,9,Forest Elementary Bedford County,37.37558,-79.307953,5100270
SCH,10.0,Bedford County,1214.0,Goodview Elementary,Elem,PK,5.0,English: Reading,Gr 3,English Reading,57,,53,8,,4,Goodview Elementary Bedford County,37.2627348,-79.7807514,5100270
SCH,10.0,Bedford County,980.0,Huddleston Elementary,Elem,PK,5.0,English: Reading,Gr 3,English Reading,65,,69,15,,0,Huddleston Elementary Bedford County,37.1634355,-79.4715122,5100270
SCH,10.0,Bedford County,970.0,Moneta Elementary,Elem,PK,5.0,English: Reading,Gr 3,English Reading,71,,80,21,,15,Moneta Elementary Bedford County,37.1857071,-79.6120289,5100270
SCH,10.0,Bedford County,180.0,Montvale Elementary,Elem,PK,5.0,English: Reading,Gr 3,English Reading,66,,48,14,,6,Montvale Elementary Bedford County,37.3757896,-79.7087631,5100270
SCH,10.0,Bedford County,610.0,New London Academy Elementary,Elem,PK,5.0,English: Reading,Gr 3,English Reading,88,,74,27,,17,New London Academy Elementary Bedford County,37.3069478,-79.3067252,5100270
SCH,10.0,Bedford County,1170.0,Otter River Elementary,Elem,PK,5.0,English: Reading,Gr 3,English Reading,86,,77,31,,13,Otter River Elementary Bedford County,37.3652473,-79.4336897,5100330
SCH,10.0,Bedford County,640.0,Stewartsville Elementary,Elem,PK,5.0,English: Reading,Gr 3,English Reading,80,,64,11,,9,Stewartsville Elementary Bedford County,37.2712147,-79.7904006,5100330
